date,model,params,best_train_score,RMSE,MSE,MAE,WithCrossVal
"10/04/2020, 15:02:50",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.26495932879137946,0.2959720404358042,0.08759944871973334,0.2511584348083852,Yes
"10/04/2020, 15:03:52",RF,"{'max_depth': 15, 'n_estimators': 50}",0.12916236978807516,0.11035873666934662,0.01217905075925419,0.07764240451030235,Yes
date,model,params,best_train_score,RMSE,MSE,MAE,WithCrossVal
"10/04/2020, 15:02:50",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.26495932879137946,0.2959720404358042,0.08759944871973334,0.2511584348083852,Yes
"10/04/2020, 15:03:52",RF,"{'max_depth': 15, 'n_estimators': 50}",0.12916236978807516,0.11035873666934662,0.012179050759254191,0.07764240451030235,Yes
"10/04/2020, 15:22:18",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.26495932879137946,0.2959720404358042,0.08759944871973334,0.2511584348083852,Yes
"10/04/2020, 15:23:16",RF,"{'max_depth': 15, 'n_estimators': 50}",0.12916236978807516,0.11035873666934662,0.01217905075925419,0.07764240451030235,Yes
date,model,params,best_train_score,RMSE,MSE,MAE,WithCrossVal
"10/04/2020, 15:02:50",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.26495932879137946,0.2959720404358042,0.08759944871973334,0.2511584348083852,Yes
"10/04/2020, 15:03:52",RF,"{'max_depth': 15, 'n_estimators': 50}",0.12916236978807516,0.11035873666934662,0.01217905075925419,0.07764240451030235,Yes
date,model,params,best_train_score,RMSE,MSE,MAE,WithCrossVal
"10/04/2020, 15:02:50",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.26495932879137946,0.2959720404358042,0.08759944871973334,0.2511584348083852,Yes
"10/04/2020, 15:03:52",RF,"{'max_depth': 15, 'n_estimators': 50}",0.12916236978807516,0.11035873666934662,0.012179050759254191,0.07764240451030235,Yes
"10/04/2020, 15:22:18",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.26495932879137946,0.2959720404358042,0.08759944871973334,0.2511584348083852,Yes
"10/04/2020, 15:23:16",RF,"{'max_depth': 15, 'n_estimators': 50}",0.12916236978807516,0.11035873666934662,0.01217905075925419,0.07764240451030235,Yes
"10/24/2020, 00:02:05",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.2651127295257789,0.2642957706341079,0.06985225437507697,0.22162874943033198,Yes
"10/24/2020, 00:02:55",RF,"{'max_depth': 10, 'n_estimators': 50}",0.13064447876101368,0.1307419346973393,0.017093453488403333,0.09598996791106665,Yes
date,model,params,best_train_score,RMSE,MSE,MAE,WithCrossVal
"10/04/2020, 15:02:50",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.26495932879137946,0.2959720404358042,0.08759944871973334,0.2511584348083852,Yes
"10/04/2020, 15:03:52",RF,"{'max_depth': 15, 'n_estimators': 50}",0.12916236978807516,0.11035873666934662,0.01217905075925419,0.07764240451030235,Yes
date,model,params,best_train_score,RMSE,MSE,MAE,WithCrossVal
"10/04/2020, 15:02:50",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.26495932879137946,0.2959720404358042,0.08759944871973334,0.2511584348083852,Yes
"10/04/2020, 15:03:52",RF,"{'max_depth': 15, 'n_estimators': 50}",0.12916236978807516,0.11035873666934662,0.012179050759254191,0.07764240451030235,Yes
"10/04/2020, 15:22:18",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.26495932879137946,0.2959720404358042,0.08759944871973334,0.2511584348083852,Yes
"10/04/2020, 15:23:16",RF,"{'max_depth': 15, 'n_estimators': 50}",0.12916236978807516,0.11035873666934662,0.01217905075925419,0.07764240451030235,Yes
date,model,params,best_train_score,RMSE,MSE,MAE,WithCrossVal
"10/04/2020, 15:02:50",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.26495932879137946,0.2959720404358042,0.08759944871973334,0.2511584348083852,Yes
"10/04/2020, 15:03:52",RF,"{'max_depth': 15, 'n_estimators': 50}",0.12916236978807516,0.11035873666934662,0.01217905075925419,0.07764240451030235,Yes
date,model,params,best_train_score,RMSE,MSE,MAE,WithCrossVal
"10/04/2020, 15:02:50",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.26495932879137946,0.2959720404358042,0.08759944871973334,0.2511584348083852,Yes
"10/04/2020, 15:03:52",RF,"{'max_depth': 15, 'n_estimators': 50}",0.12916236978807516,0.11035873666934662,0.012179050759254191,0.07764240451030235,Yes
"10/04/2020, 15:22:18",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.26495932879137946,0.2959720404358042,0.08759944871973334,0.2511584348083852,Yes
"10/04/2020, 15:23:16",RF,"{'max_depth': 15, 'n_estimators': 50}",0.12916236978807516,0.11035873666934662,0.01217905075925419,0.07764240451030235,Yes
"10/24/2020, 00:02:05",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.2651127295257789,0.2642957706341079,0.06985225437507697,0.22162874943033198,Yes
"10/24/2020, 00:02:55",RF,"{'max_depth': 10, 'n_estimators': 50}",0.13064447876101368,0.1307419346973393,0.017093453488403333,0.09598996791106665,Yes
"10/24/2020, 00:03:01",Lasso,"{'alpha': 0.01, 'max_iter': 1000}",0.2651127295257789,0.2642957706341079,0.06985225437507697,0.22162874943033198,Yes
"10/24/2020, 00:03:53",RF,"{'max_depth': 10, 'n_estimators': 50}",0.13064447876101368,0.1307419346973393,0.017093453488403333,0.09598996791106665,Yes
